external_code;name;category;price;image;bit_active;bit_new
9717743;Broche Nepaco Plastico;Libreria;1190;Libreria9717743Broche Nepaco Plastico.jpeg;1;0
C01073;Broches abrochadora N°10 101M;Libreria;101.5;LibreriaC01073Broches abrochadora N°10 101M.jpg;1;0
9717779;Burbujeros Largos x4;Jugueteria;840;0;1;0
9717771;Caballito c/aire;Jugueteria;121;Jugueteria9717771Caballito caire.jpeg;0;0
9717836;Caballo a cuerda;Jugueteria;478.23;Jugueteria9717836Caballo a cuerda.png;1;0
9717474;Caballo a Pilas con Palenque;Jugueteria;956.5;Jugueteria9717474Caballo a Pilas con Palenque.jpeg;1;0
227;Cable auxiliar Dinax 1.5 mts;Accesorios Celular;166.5;Electronica000227Cable auxiliar Dinax 1.5 mts.jpeg;1;0
9717625;Cadenita Dorada;Moda;83.5;Moda9717625Cadenita Dorada.png;1;0
9717626;Cadenita Plateada;Moda;83.5;Moda9717626Cadenita Plateada.png;1;0
C01050;Calculadora cientifica  FX82;Libreria;1562.5;LibreriaC01050Calculadora FX82 KK82MS5 KK82MSD.jpg;1;0
717326;Calculadora Kenko 8985;Libreria;993.75;Libreria717326Calculadora Kenco 8985.jpeg;1;0
717406;Calentador Calorito Super Reforzadoo naranja;Bazar;371.45;Bazar717406Calentador Calorito Super Reforzadoo.png;0;0
9717477;Calentador Reforzado Naranja;Bazar;450;Bazar9717477Calentador Reforzado Naranja.png;1;0
156;Calentador Repelente Mosquitos (Tableta);Mostrador;554.5;Bazar000156Calentador Repelente Mosquitos (Tableta).jpeg;1;0
717531;Caloventor Winco W116;Pequños Electrodomesticos;7981.2;Pequños Electrodomesticos717531Caloventor Winco W116.png;1;0
9717785;Camion Cementero Duravit 651;Jugueteria;2373.12;Jugueteria9717785Camion Cementero Duravit 651.png;1;0
9717786;Camion El Tamberito Duravit 219;Jugueteria;2179.91;Jugueteria9717786Camion El Tamberito Duravit 219.png;1;0
9717787;Camion Excavador Duravit 206;Jugueteria;2023.6;Jugueteria9717787Camion Excavador Duravit 206.png;1;0
9717810;Caña de pescar art 525;Bazar;350;Jugueteria9717810Caña de pescar art 525.png;1;0
C04008;Candado 38mm;Ferreteria;540;FerreteriaC04008Candado 38mm.png;1;0
9717734;Capa P/ Lluvia;Mostrador;150;Mostrador9717734Capa P Lluvia.jpg;0;0
9717824;Cargador Celular Samsung;Accesorios Celular;450.7;Accesorios Celular9717824Cargador Celular Samsung.jpeg;1;0
9717807;Cargador Celular Time T/C 3.1;Accesorios Celular;835.72;Accesorios Celular9717807Cargador Celular Time TC 3.1.png;1;0
9717748;Cargador Celular Time v8;Accesorios Celular;450.7;Libreria9717748Cargador celular Time v8.png;0;0
209;Cargador de Pilas Dinax AA/AAA;Electronica;1059;Electronica000209Cargador Pilas Dinax.jpeg.jpeg;1;0
9717755;Cargador Micro USB 3.0 Dinax DxCar 30V;Electronica;818.5;Libreria9717755Cargador Micro USB 3.0 Dinax DxCar 30V.png;1;0
C09019;Cargador Universal bateria Rapido15 v 8 Dinax;Electronica;701.5;ElectronicaC09019Cargador Universal Rapido Dinax.jpg;1;0
C09002;Cargador V8 DX2CAR1V8;Accesorios Celular;673.75;Accesorios CelularC09002Cargador V8 DX2CAR1V8.png;1;0
9717719;Carpeta Dibujo N°5;Libreria;568.9;LibreriaCarpeta Dibujo N°59717719.png;0;0
9717709;Carpeta N°3 Benjule;Libreria;616.87;Libreria9717709Carpeta N°3 Benjule.png;1;0
717199;Carpeta N°3 Moving;Libreria;693.87;Libreria717199Carpeta N°3 Moving.png;0;0
9717720;Carpeta N°3 Soga;Libreria;389.5;LibreriaCarpeta N°3 Soga9717720.png;1;0
15;Cartas Uno;Jugueteria;506.25;Jugueteria000015Cartas Uno.png;1;0
717236;Cartuchera Pop-It;Libreria;1440;Libreria717236Cartuchera Pop-It.jpeg;0;0
C01013;Cartucheras 1°Piso;Libreria;875;LibreriaCartucheras 1°PisoC01013.png;1;0
9717726;Cartucheras 1°Piso Personajes;Libreria;1860.73;LibreriaCartucheras 1°Piso Personajes9717726.png;1;0
9717727;Cartucheras 2°Pisos Personajes;Libreria;2136.17;LibreriaCartucheras 2°Pisos Personajes9717727.png;1;0
9717826;Celular Infantil;Jugueteria;416.5;Jugueteria9717826Celular Infantil.jpeg;1;0
9717693;Cepillo de Alambre x3;Ferreteria;229;Ferreteria9717693Cepillo de Alambre x3.png;0;0
9717716;Cepillo de Dientes;Belleza y Cuidado Personal;143.5;BazarCepillo de Dientes9717716.png;1;0
9717692;Cepillo Dientes x10;Belleza y Cuidado Personal;625;#N/A;0;0
717532;Cepillo Zapatos;Merceria;295.9;Merceria717532Cepillo Zapatos.png;0;0
9717445;Chifles;Jugueteria;146;Jugueteria9717445Chifles.png;1;0
9717799;Chispero Largo;Mostrador;568.75;Mostrador9717799Chispero Largo.jpeg;1;0
9717821;Cinta de color x10;Libreria;397.2;Libreria9717822Cintas de Colores x10.png;1;0
C01088;Cinta de papel 18mm;Libreria;405.72;LibreriaC01088Cinta de papel 18mm.png;1;0
9717763;Cinta Scotch;Libreria;175;0;1;0
9717831;Cinta Scotch Grande;Libreria;166.5;Libreria9717831Cinta Scotch Grande.png;1;0
9717822;Cintas de Colores x10;Libreria;397.12;#N/A;1;0
9717711;Compás Metal Chenchi;Libreria;360;Libreria9717711Compás Metal Chenchi.png;0;0
C16013;Cordones para Anteojos x12;Merceria;385;SCC16013Cordones para Anteojos x12.png;1;0
9717730;Corrector Cinta Katana;Libreria;150;Libreria9717730Corrector Cinta Katana.png;0;0
9717702;Corrector Punta Metal Filgo;Libreria;191.58;0;1;0
9717594;Corta Pelo Nariz / Oido;Electro Beauty;1062.5;Electro Beauty9717594Corta Pelo Nariz  Oido.jpeg;1;0
9717778;Corta Pelo Winco 6101;Electro Beauty;3769.2;0;1;0
C01022;Crayones x12 5233;Libreria;135;LibreriaC01022Crayones x12 5233.png;1;0
C01023;Crayones x6 5234;Libreria;86.5;LibreriaC01023Crayones x6 5234.png;1;0
C01071;Cuadernillo Universitario Avon x 84 hojas;Libreria;611.06;LibreriaCuaderno Univesitario Avon.png;1;0
9717714;Cuadernillo Universitario Husares;Libreria;450;Libreria9717714Cuadernillo Universitario Husares.png;0;0
9717740;Cuaderno Exito x48 T/D;Libreria;979.8;Libreria9717740Cuaderno Exito x48 TOF.png;1;0
717230;Cuaderno Gloria x 84 T/D Forrado;Libreria;769.71;LibreriaCuaderno Color TD Gloria x84.png;1;0
717240;Cuaderno N°1 T/F Gloria x24;Libreria;178.93;LibreriaCuaderno TF Gloria x24.png;1;0
717241;Cuaderno N°1 T/F Gloria x48;Libreria;222.5;LibreriaCuaderno TF Gloria x48.png;1;0
C02131;Cubo Magico Eco 9272;Jugueteria;194.5;JugueteriaC02131Cubo Magico Eco 9272.png;1;0
717493;Cubo Magico Grande 2541;Jugueteria;359.23;Jugueteria717493Cubo Magico Grande 2541.png;1;0
9717773;Cubo mágico rapido;Jugueteria;875;Jugueteria9717773Cubo mágico rapido.png;1;0
717517;Cuchillo 3.5;Bazar;299.5;Bazar717517Cuchillo Tramontina 35.png;1;0
9717802;Cuchillo Rojo/Negro 8'';Bazar;166.9;Bazar9717802Cuchillo RojoNegro 8''.png;0;0
9717804;Cunero Musical Animales;Jugueteria;1518;Jugueteria9717804Cunero Musical Animales.png;1;0
C01039;Cutter Grande 166;Ferreteria;236.49;LibreriaC01039Cutter Grande 332.jpeg;1;0
9717813;Desodorante Aerosol Axe 150 Hom;Belleza y Cuidado Personal;598.8;Belleza y Cuidado Personal9717813Desodorante Aerosol Axe 150 Hom.png;1;0
9717814;Desodorante Aerosol Patrich 150 Hom;Belleza y Cuidado Personal;466.9;Belleza y Cuidado Personal9717814Desodorante Aerosol Partion 150 Hom.png;1;0
9717815;Desodorante Aerosol Reaxona 150 Hom;Belleza y Cuidado Personal;598.94;Belleza y Cuidado Personal9717815Desodorante Aerosol Reaxona 150 Hom.png;1;0
9717747;Destapador Mozo;Bazar;275.7;Bazar9717747Destapador Mozo.jpeg;1;0
717444;Difusor de Cocina;Bazar;394.9;Bazar717444Difusor de Cocina.jpg;1;0
9717415;Dinosaurios;Jugueteria;313.5;Jugueteria9717415Dinosaurios.png;1;0
C02012;Duramasa 10 Potes Art 709 duravit;Jugueteria;1690.05;JugueteriaC02012Duramasa 10 Potes Art 709.png;1;0
C02109;Duramasa 2 Potes Art 705 duravit;Jugueteria;745.44;JugueteriaC02109Duramasa 2 Potes Art 705.png;1;0
9717788;Duramasa Monstruos Art 717 Durvait;Jugueteria;2516.1;Jugueteria9717788Duramasa Monstruos Art 717 Durvait.png;1;0
C10008;Eccole 9g;Mostrador;1198.8;MostradorC10008Eccole 9g.png;1;0
9717767;El pulpito;Mostrador;1294.8;Mostrador9717767El pulpito.jpeg;1;0
9717744;Encendedor  River - Boca;Mostrador;137.5;Mostrador9717744Encendedor Boca  River.jpeg;1;0
C10012;Encendedor Shark;Mostrador;118.8;MostradorC10012Encendedor Shark.jpg;1;0
9717759;Encendedor t/ zipo;Bazar;682.5;Bazar9717759Encendedor t zipo.jpeg;0;0
9717533;Enchufe USB;Accesorios Celular;275.5;Accesorios Celular9717533Enchufe USB.jpeg;0;0
C02135;Esmalte Infantil;Jugueteria;162.5;JugueteriaC02135Esmalte Infantil.png;1;0
C03018;Esmalte p/ uñas;Perfumeria;187.5;ModaC03018Esmalte.png;1;0
C02091;Espada luz y sonido 3528;Jugueteria;718;JugueteriaC02091Espada luz y sonido 3528.png;1;0
C03079;Espejo doble c/aumento N°5;Belleza y Cuidado Personal;663.9;ModaC03079Espejo doble caumento N°5 YY0257.png;1;0
717419;Espejo doble C/Aumento N°6;Belleza y Cuidado Personal;776.5;Belleza y Cuidado Personal717419Espejo CAumento N°6.png;1;0
65;Espejo doble c/aumento N°7;Belleza y Cuidado Personal;990;Moda000065Espejo doble con aumento N°7.png;1;0
9717825;Esponja Maquilladora;Belleza y Cuidado Personal;213.7;Belleza y Cuidado Personal9717825Esponja Maquilladora.png;1;0
717197;Etiquetas x9 Personajes;Libreria;84;Libreria717378Etiqueta Autoadhesiva Escolar.png;1;0
9717598;Face Sticker Chico;Moda;105.9;Moda9717598Face Sticker Chico.jpeg;1;0
9717696;Fibras c/brillo x6 Emoji;Libreria;354.34;Libreria9717696Fibras cbrillo x6 Emoji.png;1;0
9717697;Fibras c/brillo x8 Emoji;Libreria;434.99;Libreria9717697Fibras cbrillo x8 Emoji.png;1;0
C01007;Fibras Color Pen x18 187118;Libreria;363.5;LibreriaC01007Marcadores Color Pen x18 187118.png;1;0
C01059;Fibras Color Pen x24 187124;Libreria;506.5;LibreriaC01059Marcadores Color Pen x24 1871.jpeg;1;0
9717723;Fibras ColorGel x12;Libreria;652;Libreria9717723Fibras ColorGel x12.jpeg;0;0
9717721;Fibras ColorGel x6;Libreria;373;Libreria9717721Fibras ColorGel x6.jpeg;0;0
9717722;Fibras ColorGel x8;Libreria;540;0;1;0
C01004;Fibras Fruit x10 80810;Libreria;449.5;LibreriaC01004Fibras Fruit x10 80810.png;1;0
C01002;Fibras x 12 Pandas 85812;Libreria;354.5;LibreriaC01002Fibras x 12 Pandas 85812.png;1;0
9717718;Fibras x12 Color Pen;Libreria;209.5;0;0;0
9717724;Fibras x12 Emoji;Libreria;652.49;0;1;0
 C01027;Fibras x12 LB7060;Libreria;198.75;#N/A;0;0
717313;Fibras x6 858-6;Libreria;101.5;Libreria717313Fibras x6 858-6.jpeg;0;0
9717782;Fibron Negro Doble Punta N°150;Libreria;93.9;0;1;0
C13004;Ficha Macho/Hembra;Electricidad;295.5;ElectricidadC13004Ficha MachoHembra.png;1;0
C05036;Filtro de Bombilla x12;Bazar;843.88;BazarC05036Filtro de Bombilla.png;1;0
C02112;Flauta c/Teclado;Jugueteria;1247.91;JugueteriaC02112Flauta c Teclado.png;1;0
100;Flautas;Jugueteria;252;Jugueteria000100Flautas Color.jpeg;1;0
24;Flota Flota;Jugueteria;180;#N/A;0;0
717266;Folio A4 Reforzado x12;Libreria;307.5;Folio A4 Reforzado  x12.jpg;1;0
9717770;Gallo a Cuerda;Libreria;529.5;Jugueteria9717770Gallo a Cuerda.jpeg;0;0
C10041;Gas Encendedor 160cc;Mostrador;511.9;MostradorC10041Gas Encendedor 160cc.png;1;0
C10069;Gas Encendedor 400cc;Mostrador;590.6;MostradorC10069Gas Encendedor 400cc.png;1;0
C02067;Generala Bolsa;Jugueteria;161.5;JugueteriaC02067Generala.png;1;0
9717513;Girabola art 676 Duravit;Jugueteria;1536.8;Jugueteria9717513Girabola 676.jpeg;1;0
C10080;Globos x25;Mostrador;320.6;MostradorC10080Globos x25.png;1;0
9717701;Goma Faber Castell lapiz;Libreria;120.5;Libreria9717701Goma Faber Castell.png;1;0
9717713;Goma Faber Castell lapiz tinta;Libreria;147.79;Libreria9717713Goma Faber Castell lapiz tinta.png;1;0
9717745;Goma L/T Katana;Libreria;15.45;Libreria9717745Goma LT Katana.png;1;0
717237;Goma Maped Lapiz;Libreria;79.67;Libreria717237Goma Maped Lapiz.png;1;0
165;Helicoptero c/lanzador;Jugueteria;448;Jugueteria000165Helicoptero clanzador.png;1;0
C11001;Hilo Coser x12 Color;Merceria;472.5;MerceriaC11001Hilo de Color x12 HL3000 5G110M.png;1;0
9717761;Hojas Canson N° 6 Color;Libreria;403.5;Libreria9717761Hojas Canson N° 6 Color.jpeg;1;0
9717808;Hojas de Afeitar;Belleza y Cuidado Personal;79;0;1;0
717257;Holder Escritorio Pinza 37;Accesorios Celular;350;AccesoriosCeludar717257Soporte Celular Pinza Dinax.png;1;0
9717360;Hot Speed;Jugueteria;493.5;Jugueteria9717360Hot Wheels.png;1;0
C03010;Invisibles D 7065P;Moda;117.45;ModaC03010Invisibles D 7065P.png;1;0
C05043;Jarra Electrica Winco w1718;Pequños Electrodomesticos;5497.5;BazarC05043Jarra Electrica Winco w718.png;1;0
9717406;Juego de Pesca c/ Caña 525;Jugueteria;350;Jugueteria9717406Juego de Pesca c Caña.png;0;0
C04004;Kit Parche FR0532;Ferreteria;259.01;FerreteriaC04004Kit Parche FR0532.png;1;0
C02038;Kit Ping Pong c/red;Jugueteria;672.5;JugueteriaC02038Kit Ping Pong DE0578.png;0;0
C02077;Labiales Infantiles 32205;Jugueteria;162.5;JugueteriaC02077Labiales Infantiles 32205.png;0;0
9717774;Lampara c/ Base;Iluminacion;3085.5;Iluminacion9717774Lampara c- Base.png;0;0
717482;Lampara Giraroria Color;Iluminacion;565;Audio717482Lampara Giraroria Color.png;1;0
9717765;Lampara Imantada a pilas;Iluminacion;550;Iluminacion9717765Lampara Imantada a pilas.jpeg;0;0
9717750;Lapicera Fluor x12;Libreria;729;0;1;0
9717751;Lapicera Fluor x8;Libreria;486;0;1;0
C01001;Lapicera x10 524-5;Libreria;243.9;LibreriaC01001Lapicera x10 524-5.png;0;0
717521;Lapiceras x10 Colores;Libreria;489.37;Libreria717521Birome x10 Colores.png;1;0
231;Lapices Color x12 Doble Punta;Libreria;512.9;Libreria000231Lapices Color x12 Doble Punta.jpeg;1;0
717238;Lapiz Bic Evolution Colorin x12;Libreria;725.5;LibreriaLapices Bic Color x12.png;0;0
717244;Lapiz de Color Faber Castell x12;Libreria;712.5;LibreriaLapices Faber-Castell Color x12.jpg;0;0
C01031;Lapiz de Color Largo x12;Libreria;287.5;LibreriaC01031Lapiz de Color Largo x12.jpg;0;0
235;Lapiz Negro c/diseño x5;Libreria;151.5;#N/A;0;0
9717700;Lapiz Negro Faber Castell N°2;Libreria;99.5;Libreria9717700Lapiz Negro Faber Castell N°2.png;0;0
717534;Lima para pies - escofina;Belleza y Cuidado Personal;168.9;Belleza y Cuidado Personal717534Lima p Pies.png;1;0
717258;Limpiador Bombilla;Bazar;45;Bazar717258Limpiador Bombilla.png;1;0
C04002;Linga de Bicicleta;Ferreteria;472.5;FerreteriaC04002Linga de Bicicleta.png;1;0
C07006;Linterna 9 Leds;Iluminacion;535;IluminacionC07006Linterna 9 Leds.png;1;0
9717746;Linterna c/Pilas 3711;Iluminacion;156.9;Iluminacion9717746Linterna cPilas 3711.jpeg;1;0
9717757;Linterna Recargable en Caja;Iluminacion;1391;Libreria9717757Linterna Recargable en Caja.jpeg;1;0
C16002;Llavero Cintas (Marcas);Mostrador;362.5;SCC16002Llavero Cintas (Marcas).png;0;0
9717493;Llavero Pop It;Jugueteria;206.25;Jugueteria9717493Llavero Pop It.jpeg;0;0
9717791;Loopin Monkeys;Jugueteria;1631;Jugueteria9717791Loopin Monkeys.jpeg;0;0
90;Loteria 48 cartones;Jugueteria;839.66;Jugueteria000090Loteria 48 cartones.jpeg;1;0
C10066;Lubricante Nechi 250cc;Ferreteria;652.91;MostradorC10066Lubricante en Aerosol.png;1;0
84;Ludo de personajes;Jugueteria;1849.35;Jugueteria000084Ludo de personajes.jpeg;1;0
9717768;Ludo Matic 1001;Jugueteria;1551.9;Jugueteria9717768Ludo Matic 1001.jpeg;0;0
9717801;Lupa 100mm ;Libreria;360;Libreria9717801Lupa 100mm.png;0;0
9717835;Lupa 60mm ;Libreria;213.75;Libreria9717835Lupa 60mm .png;1;0
C07010;Luz Bicicleta roja;Iluminacion;306;IluminacionC07010Luz Bicicleta FR0551.png;0;0
9717570;Luz Noche 220W tubo;Iluminacion;489.5;Iluminacion9717570Luz Noche 220W.jpeg;1;0
C02146;Mamadera magic bottle;Jugueteria;478.2;JugueteriaC02146Mamadera magic bottle.png;1;0
9717732;Marcador doble punta Katana;Libreria;135;Libreria9717732Marcador doble punta Katana.png;0;0
9717800;Masajedor Facial;Belleza y Cuidado Personal;1113.5;Belleza y Cuidado Personal9717800Masajedor Facial.png;1;0
9717789;Mascota Virtual;Jugueteria;528;Jugueteria9717789Mascota Virtual.jpeg;1;0
C05053;Mate listo pastel;Bazar;414;BazarC05053Mate listo pastel.png;0;0
9717739;Microfibras Filgo;Libreria;181.5;Libreria9717739Microfibras Filgo.png;1;0
C01005;Microfibras x10 168810;Libreria;590.62;LibreriaC01005Microfibras x10 168810.png;1;0
717355;Microfono Blister Echo 7537;Jugueteria;286.5;Audio717355Microfono.jpeg;1;0
C02141;Mini Autitos Duravit Art 711;Jugueteria;187.9;JugueteriaC02141Mini Autitos Duravit Art 711.png;1;0
C07003;Mini Linterna Minera;Iluminacion;297;IluminacionC07003Mini Linterna Minera.png;1;0
C02139;Mini Moldes Primera Infancia Art 658 duravit;Jugueteria;725;JugueteriaC02139Mini Moldes Primera Infancia Art 658.png;1;0
9717695;Mochila Bolsa;Libreria;1030;Libreria9717695Mochila Bolsa.png;0;0
717213;Mordillo Primera Infancia Duravit Art 670;Jugueteria;435.9;Jugueteria717213Mordillo Primera Infancia Duravit Art 670.jpeg;1;0
9717472;Moto Fricción con Muñeco Art 2000;Jugueteria;481.25;Jugueteria9717472Moto Fricción con Muñeco Art 2000.jpeg;1;0
9717769;Moto Rondi 3035;Jugueteria;7663.1;Jugueteria9717769Moto Rondi 3035.jpeg;1;0
C09022;Mouse Dinax DXMOU48;Computacion;368.9;ElectronicaC09022Mouse Dinax DXMOU48.png;1;0
9717489;Muñeca Bailarina Pila Luz Sonido;Jugueteria;1190;Jugueteria9717489Muñeca Bailarina Pila Luz Sonido.jpeg;1;0
9717790;Muñeca Fashion Roll;Jugueteria;1410;Jugueteria9717790Muñeca Fashion Roll.jpeg;1;0
9717436;Muñeca Flaca 2426;Jugueteria;175;Jugueteria9717436Muñeca Flaca 19415.png;1;0
124;Muñeca Frozen art 9008;Jugueteria;1008;Jugueteria000124Muñeca Frozen art 310.jpg;1;0
9717644;Muñeca Mermaid c/hija;Jugueteria;1181.5;Jugueteria9717644Muñeca Mermaida chija.png;1;0
